State/Region,State Code,Tax Name,Tax Code,Taxes Collected,Population,Region,,
Connecticut,7,Other_Selective_Sales_and_Gross_Receipts_Taxes,T19,1039714,,New England Region,,
Connecticut,7,License_Taxes,TA3,441552,,New England Region,,
Connecticut,7,Alcoholic_Beverages_License,T20,9204,,New England Region,,
Connecticut,7,Amusements_License,T21,231,,New England Region,,
Connecticut,7,Corporations_in_General_License,T22,29791,,New England Region,,
Connecticut,7,Hunting_and_Fishing_License,T23,5603,,New England Region,,
Connecticut,7,Motor_Vehicle_License,T24,235105,,New England Region,,
Connecticut,7,Motor_Vehicle_Operators_License,T25,46805,,New England Region,,
Connecticut,7,Public_Utilities_License,T27,X,,New England Region,,
Connecticut,7,"Occupation_and_Business_License,_NEC",T28,111366,,New England Region,,
Connecticut,7,Other_License_Taxes,T29,3447,,New England Region,,
Connecticut,7,Income_Taxes,TA4,8856739,,New England Region,,
Connecticut,7,Individual_Income_Taxes,T40,7959492,,New England Region,,
Connecticut,7,Corporations_Net_Income_Taxes,T41,897247,,New England Region,,
Connecticut,7,Other_Taxes,TA5,396788,,New England Region,,
Connecticut,7,Death_and_Gift_Taxes,T50,218789,,New England Region,,
Connecticut,7,Documentarty_and_Stock_Transfer_Taxes,T51,177725,,New England Region,,
Connecticut,7,Severance_Taxes,T53,X,,New England Region,,
Connecticut,7,"Taxes,_NEC",T99,274,,New England Region,,
Connecticut,7,,,,Pop 3573880,New England Region,,
,,,,,,,,
Maine,20,Total Taxes,T00,4232556,,New England Region,,
Maine,20,Property Taxes,T01,38643,,New England Region,,
Maine,20,Sales and Gross Receipts Taxes,TA1,2165142,,New England Region,,
Maine,20,General Sales and Gross Receipts Taxes,T09,1441867,,New England Region,,
Maine,20,Selective Sales and Gross Receipts Taxes,TA2,723275,,New England Region,,
Maine,20,Alcoholic Beverages Sales Tax,T10,19266,,New England Region,,
Maine,20,Amusements Sales Tax,T11,54400,,New England Region,,
Maine,20,Insurance Premiums Sales Tax,T12,95943,,New England Region,,
Maine,20,Motor Fuels Sales Tax,T13,252870,,New England Region,,
Maine,20,Pari-mutuels Sales Tax,T14,1479,,New England Region,,
Maine,20,Public Utilities Sales Tax,T15,21944,,New England Region,,
Maine,20,Tobacco Products Sales Tax,T16,144243,,New England Region,,
Maine,20,Other Selective Sales and Gross Receipts Taxes,T19,133130,,New England Region,,
Maine,20,License Taxes,TA3,274760,,New England Region,,
Maine,20,Alcoholic Beverages License,T20,6698,,New England Region,,
Maine,20,Amusements License,T21,586,,New England Region,,
Maine,20,Corporations in General License,T22,10577,,New England Region,,
Maine,20,Hunting and Fishing License,T23,16579,,New England Region,,
Maine,20,Motor Vehicle License,T24,109723,,New England Region,,
Maine,20,Motor Vehicle Operators License,T25,11025,,New England Region,,
Maine,20,Public Utilities License,T27,X,,New England Region,,
Maine,20,"Occupation and Business License, NEC",T28,109737,,New England Region,,
Maine,20,Other License Taxes,T29,9835,,New England Region,,
Maine,20,Income Taxes,TA4,1710105,,New England Region,,
Maine,20,Individual Income Taxes,T40,1534866,,New England Region,,
Maine,20,Corporations Net Income Taxes,T41,175239,,New England Region,,
Maine,20,Other Taxes,TA5,43906,,New England Region,,
Maine,20,Death and Gift Taxes,T50,11718,,New England Region,,
Maine,20,Documentarty and Stock Transfer Taxes,T51,32188,,New England Region,,
Maine,20,Severance Taxes,T53,X,,New England Region,,
Maine,20,"Taxes, NEC",T99,0,,New England Region,,
Maine,20,,,,Pop 1335063,New England Region,,
,,,,,,,,
Massachusetts,22,Total Taxes,T00,27509262,,New England Region,,
Massachusetts,22,Property<>Taxes,T01,6598,,New England Region,,
Massachusetts,22,Sales<>and<>Gross<>Receipts<>Taxes,TA1,8809249,,New England Region,,
Massachusetts,22,General<>Sales<>and<>Gross<>Receipts<>Taxes,T09,6240822,,New England Region,,
Massachusetts,22,Selective<>Sales<>and<>Gross<>Receipts<>Taxes,TA2,2568427,,New England Region,,
Massachusetts,22,Alcoholic<>Beverages<>Sales<>Tax,T10,85397,,New England Region,,
Massachusetts,22,Amusements<>Sales<>Tax,T11,65744,,New England Region,,
Massachusetts,22,Insurance<>Premiums<>Sales<>Tax,T12,397519,,New England Region,,
Massachusetts,22,Motor<>Fuels<>Sales<>Tax,T13,769442,,New England Region,,
Massachusetts,22,Pari-mutuels<>Sales<>Tax,T14,902,,New England Region,,
Massachusetts,22,Public<>Utilities<>Sales<>Tax,T15,X,,New England Region,,
Massachusetts,22,Tobacco<>Products<>Sales<>Tax,T16,619437,,New England Region,,
Massachusetts,22,Other<>Selective<>Sales<>and<>Gross<>Receipts<>Taxes,T19,629986,,New England Region,,
Massachusetts,22,License<>Taxes,TA3,1112162,,New England Region,,
Massachusetts,22,Alcoholic<>Beverages<>License,T20,3634,,New England Region,,
Massachusetts,22,Amusements License,T21,14825,,New England Region,,
Massachusetts,22,Corporations in General License,T22,26645,,New England Region,,
Massachusetts,22,Hunting and Fishing License,T23,5482,,New England Region,,
Massachusetts,22,Motor Vehicle License,T24,438855,,New England Region,,
Massachusetts,22,Motor Vehicle Operators License,T25,96905,,New England Region,,
Massachusetts,22,Public Utilities License,T27,X,,New England Region,,
Massachusetts,22,"Occupation and Business License, NEC",T28,290524,,New England Region,,
Massachusetts,22,Other License Taxes,T29,235292,,New England Region,,
Massachusetts,22,Income Taxes,TA4,16920751,,New England Region,,
Massachusetts,22,Individual Income Taxes,T40,14724277,,New England Region,,
Massachusetts,22,Corporations Net Income Taxes,T41,2196474,,New England Region,,
Massachusetts,22,Other Taxes,TA5,660502,,New England Region,,
Massachusetts,22,Death and Gift Taxes,T50,336633,,New England Region,,
Massachusetts,22,Documentarty and Stock Transfer Taxes,T51,323869,,New England Region,,
Massachusetts,22,Severance Taxes,T53,X,,New England Region,,
Massachusetts,22,"Taxes, NEC",T99,0,,New England Region,,
Massachusetts,22,,,,Pop 6863246,New England Region,,
,,,,,,,,
New Hampshire,30,TotalTaxes,T00,2592039,,New England Region,,
New Hampshire,30,PropertyTaxes,T01,405186,,New England Region,,
New Hampshire,30,SalesandGrossReceiptsTaxes,TA1,959384,,New England Region,,
New Hampshire,30,GeneralSalesandGrossReceiptsTaxes,T09,X,,New England Region,,
New Hampshire,30,SelectiveSalesandGrossReceiptsTaxes,TA2,959384,,New England Region,,
New Hampshire,30,AlcoholicBeveragesSalesTax,T10,12678,,New England Region,,
New Hampshire,30,AmusementsSalesTax,T11,538,,New England Region,,
New Hampshire,30,InsurancePremiumsSalesTax,T12,108013,,New England Region,,
New Hampshire,30,MotorFuelsSalesTax,T13,152086,,New England Region,,
New Hampshire,30,Pari-mutuelsSalesTax,T14,633,,New England Region,,
New Hampshire,30,PublicUtilitiesSalesTax,T15,53427,,New England Region,,
New Hampshire,30,TobaccoProductsSalesTax,T16,203102,,New England Region,,
New Hampshire,30,OtherSelectiveSalesandGrossReceiptsTaxes,T19,428907,,New England Region,,
New Hampshire,30,LicenseTaxes,TA3,425039,,New England Region,,
New Hampshire,30,AlcoholicBeveragesLicense,T20,17263,,New England Region,,
New Hampshire,30,AmusementsLicense,T21,322,,New England Region,,
New Hampshire,30,CorporationsinGeneralLicense,T22,63123,,New England Region,,
New Hampshire,30,HuntingandFishingLicense,T23,11233,,New England Region,,
New Hampshire,30,MotorVehicleLicense,T24,102438,,New England Region,,
New Hampshire,30,MotorVehicleOperatorsLicense,T25,8305,,New England Region,,
New Hampshire,30,PublicUtilitiesLicense,T27,21540,,New England Region,,
New Hampshire,30,"OccupationandBusinessLicense,NEC",T28,199851,,New England Region,,
New Hampshire,30,OtherLicenseTaxes,T29,964,,New England Region,,
New Hampshire,30,IncomeTaxes,TA4,639120,,New England Region,,
New Hampshire,30,IndividualIncomeTaxes,T40,65467,,New England Region,,
New Hampshire,30,CorporationsNetIncomeTaxes,T41,573653,,New England Region,,
New Hampshire,30,OtherTaxes,TA5,163310,,New England Region,,
New Hampshire,30,DeathandGiftTaxes,T50,X,,New England Region,,
New Hampshire,30,DocumentartyandStockTransferTaxes,T51,163310,,New England Region,,
New Hampshire,30,SeveranceTaxes,T53,X,,New England Region,,
New Hampshire,30,"Taxes,NEC",T99,0,,New England Region,,
New Hampshire,30,,,,Pop 1349767,New England Region,,
,,,,,,,,
Rhode Island,40,Total Taxes,T00,3266663,,New England Region,,
Rhode Island,40,Property Taxes,T01,2633,,New England Region,,
Rhode Island,40,Sales and Gross Receipts Taxes,TA1,1691782,,New England Region,,
Rhode Island,40,General Sales and Gross Receipts Taxes,T09,996390,,New England Region,,
Rhode Island,40,Selective Sales and Gross Receipts Taxes,TA2,695392,,New England Region,,
Rhode Island,40,Alcoholic Beverages Sales Tax,T10,20873,,New England Region,,
Rhode Island,40,Amusements Sales Tax,T11,X,,New England Region,,
Rhode Island,40,Insurance Premiums Sales Tax,T12,120587,,New England Region,,
Rhode Island,40,Motor Fuels Sales Tax,T13,90990,,New England Region,,
Rhode Island,40,Pari-mutuels Sales Tax,T14,1122,,New England Region,,
Rhode Island,40,Public Utilities Sales Tax,T15,97711,,New England Region,,
Rhode Island,40,Tobacco Products Sales Tax,T16,140074,,New England Region,,
Rhode Island,40,Other Selective Sales and Gross Receipts Taxes,T19,224035,,New England Region,,
Rhode Island,40,License Taxes,TA3,110461,,New England Region,,
Rhode Island,40,Alcoholic Beverages License,T20,143,,New England Region,,
Rhode Island,40,Amusements License,T21,222,,New England Region,,
Rhode Island,40,Corporations in General License,T22,5281,,New England Region,,
Rhode Island,40,Hunting and Fishing License,T23,1691,,New England Region,,
Rhode Island,40,Motor Vehicle License,T24,26788,,New England Region,,
Rhode Island,40,Motor Vehicle Operators License,T25,4589,,New England Region,,
Rhode Island,40,Public Utilities License,T27,2454,,New England Region,,
Rhode Island,40,"Occupation and Business License, NEC",T28,64367,,New England Region,,
Rhode Island,40,Other License Taxes,T29,4926,,New England Region,,
Rhode Island,40,Income Taxes,TA4,1368660,,New England Region,,
Rhode Island,40,Individual Income Taxes,T40,1238928,,New England Region,,
Rhode Island,40,Corporations Net Income Taxes,T41,129732,,New England Region,,
Rhode Island,40,Other Taxes,TA5,93127,,New England Region,,
Rhode Island,40,Death and Gift Taxes,T50,70601,,New England Region,,
Rhode Island,40,Documentarty and Stock Transfer Taxes,T51,22526,,New England Region,,
Rhode Island,40,Severance Taxes,T53,X,,New England Region,,
Rhode Island,40,"Taxes, NEC",T99,0,,New England Region,,
Rhode Island,40,,,,Pop 1056486,New England Region,,
,,,,,,,,
Vermont,46,Total Taxes,T00,3157314,,New England Region,,
Vermont,46,Property Taxes,T01,1056635,,New England Region,,
Vermont,46,Sales and Gross Receipts Taxes,TA1,1058569,,New England Region,,
Vermont,46,General Sales and Gross Receipts Taxes,T09,375870,,New England Region,,
Vermont,46,Selective Sales and Gross Receipts Taxes,TA2,682699,,New England Region,,
Vermont,46,Alcoholic Beverages Sales Tax,T10,26028,,New England Region,,
Vermont,46,Amusements Sales Tax,T11,X,,New England Region,,
Vermont,46,Insurance Premiums Sales Tax,T12,59895,,New England Region,,
Vermont,46,Motor Fuels Sales Tax,T13,81020,,New England Region,,
Vermont,46,Pari-mutuels Sales Tax,T14,X,,New England Region,,
Vermont,46,Public Utilities Sales Tax,T15,8589,,New England Region,,
Vermont,46,Tobacco Products Sales Tax,T16,76686,,New England Region,,
Vermont,46,Other Selective Sales and Gross Receipts Taxes,T19,430481,,New England Region,,
Vermont,46,License Taxes,TA3,127049,,New England Region,,
Vermont,46,Alcoholic Beverages License,T20,485,,New England Region,,
Vermont,46,Amusements License,T21,26,,New England Region,,
Vermont,46,Corporations in General License,T22,3894,,New England Region,,
Vermont,46,Hunting and Fishing License,T23,7394,,New England Region,,
Vermont,46,Motor#Vehicle#License,T24,76905,,New England Region,,
Vermont,46,Motor#Vehicle#Operators#License,T25,8914,,New England Region,,
Vermont,46,Public#Utilities#License,T27,X,,New England Region,,
Vermont,46,"Occupation#and#Business#License,#NEC",T28,25169,,New England Region,,
Vermont,46,Other#License#Taxes,T29,4262,,New England Region,,
Vermont,46,Income#Taxes,TA4,854816,,New England Region,,
Vermont,46,Individual#Income#Taxes,T40,743630,,New England Region,,
Vermont,46,Corporations#Net#Income#Taxes,T41,111186,,New England Region,,
Vermont,46,Other#Taxes,TA5,60245,,New England Region,,
Vermont,46,Death#and#Gift#Taxes,T50,16670,,New England Region,,
Vermont,46,Documentarty#and#Stock#Transfer#Taxes,T51,38857,,New England Region,,
Vermont,46,Severance#Taxes,T53,X,,New England Region,,
Vermont,46,"Taxes,#NEC",T99,4718,,New England Region,,
Vermont,46,,,,Pop 624525,New England Region,,
,,,,,,,,
Middle Atlantic Region,,,,,,,,
,,,,,,,,
New Jersey,31,Total_N/A_Taxes,T00,33100505,,Middle Atlantic Region,,
New Jersey,31,Property_N/A_Taxes,T01,4761,,Middle Atlantic Region,,
New Jersey,31,Sales_N/A_and_N/A_Gross_N/A_Receipts_N/A_Taxes,TA1,14163269,,Middle Atlantic Region,,
New Jersey,31,General_N/A_Sales_N/A_and_N/A_Gross_N/A_Receipts_N/A_Taxes,T09,9591881,,Middle Atlantic Region,,
New Jersey,31,Selective_N/A_Sales_N/A_and_N/A_Gross_N/A_Receipts_N/A_Taxes,TA2,4571388,,Middle Atlantic Region,,
New Jersey,31,Alcoholic_N/A_Beverages_N/A_Sales_N/A_Tax,T10,137757,,Middle Atlantic Region,,
New Jersey,31,Amusements_N/A_Sales_N/A_Tax,T11,218650,,Middle Atlantic Region,,
New Jersey,31,Insurance_N/A_Premiums_N/A_Sales_N/A_Tax,T12,579642,,Middle Atlantic Region,,
New Jersey,31,Motor_N/A_Fuels_N/A_Sales_N/A_Tax,T13,532878,,Middle Atlantic Region,,
New Jersey,31,Pari-mutuels_N/A_Sales_N/A_Tax,T14,X,,Middle Atlantic Region,,
New Jersey,31,Public_N/A_Utilities_N/A_Sales_N/A_Tax,T15,984612,,Middle Atlantic Region,,
New Jersey,31,Tobacco_N/A_Products_N/A_Sales_N/A_Tax,T16,697577,,Middle Atlantic Region,,
New Jersey,31,Other_N/A_Selective_N/A_Sales_N/A_and_N/A_Gross_N/A_Receipts_N/A_Taxes,T19,1420272,,Middle Atlantic Region,,
New Jersey,31,License_N/A_Taxes,TA3,1550059,,Middle Atlantic Region,,
New Jersey,31,Alcoholic_N/A_Beverages_N/A_License,T20,4199,,Middle Atlantic Region,,
New Jersey,31,Amusements_N/A_License,T21,47211,,Middle Atlantic Region,,
New Jersey,31,Corporations_N/A_in_N/A_General_N/A_License,T22,234436,,Middle Atlantic Region,,
New Jersey,31,Hunting_N/A_and_N/A_Fishing_N/A_License,T23,13720,,Middle Atlantic Region,,
New Jersey,31,Motor_N/A_Vehicle_N/A_License,T24,667056,,Middle Atlantic Region,,
New Jersey,31,Motor_N/A_Vehicle_N/A_Operators_N/A_License,T25,58005,,Middle Atlantic Region,,
New Jersey,31,Public_N/A_Utilities_N/A_License,T27,7360,,Middle Atlantic Region,,
New Jersey,31,"Occupation_N/A_and_N/A_Business_N/A_License,_N/A_NEC",T28,516093,,Middle Atlantic Region,,
New Jersey,31,Other_N/A_License_N/A_Taxes,T29,1979,,Middle Atlantic Region,,
New Jersey,31,Income_N/A_Taxes,TA4,16068049,,Middle Atlantic Region,,
New Jersey,31,Individual_N/A_Income_N/A_Taxes,T40,13958119,,Middle Atlantic Region,,
New Jersey,31,Corporations_N/A_Net_N/A_Income_N/A_Taxes,T41,2109930,,Middle Atlantic Region,,
New Jersey,31,Other Taxes,TA5,1314367,,Middle Atlantic Region,,
New Jersey,31,Death and Gift Taxes,T50,748630,,Middle Atlantic Region,,
New Jersey,31,Documentarty and Stock Transfer Taxes,T51,565736,,Middle Atlantic Region,,
New Jersey,31,Severance Taxes,T53,X,,Middle Atlantic Region,,
New Jersey,31,"Taxes, NEC",T99,1,,Middle Atlantic Region,,
New Jersey,31,,,,Pop 8888543,Middle Atlantic Region,,
,,,,,,,,
New York,33,Total Taxes,T00,79678037,,Middle Atlantic Region,,
New York,33,Property Taxes,T01,X,,Middle Atlantic Region,,
New York,33,Sales and Gross Receipts Taxes,TA1,25362583,,Middle Atlantic Region,,
New York,33,General Sales and Gross Receipts Taxes,T09,14132141,,Middle Atlantic Region,,
New York,33,Selective Sales and Gross Receipts Taxes,TA2,11230442,,Middle Atlantic Region,,
New York,33,Alcoholic Beverages Sales Tax,T10,257690,,Middle Atlantic Region,,
New York,33,Amusements Sales Tax,T11,2930,,Middle Atlantic Region,,
New York,33,Insurance Premiums Sales Tax,T12,1381080,,Middle Atlantic Region,,
New York,33,Motor Fuels Sales Tax,T13,1647240,,Middle Atlantic Region,,
New York,33,Pari-mutuels Sales Tax,T14,16396,,Middle Atlantic Region,,
New York,33,Public Utilities Sales Tax,T15,811992,,Middle Atlantic Region,,
New York,33,Tobacco Products Sales Tax,T16,1265699,,Middle Atlantic Region,,
New York,33,Other Selective Sales and Gross Receipts Taxes,T19,5847415,,Middle Atlantic Region,,
New York,33,License Taxes,TA3,1814065,,Middle Atlantic Region,,
New York,33,Alcoholic Beverages License,T20,62334,,Middle Atlantic Region,,
New York,33,Amusements License,T21,X,,Middle Atlantic Region,,
New York,33,Corporations in General License,T22,26241,,Middle Atlantic Region,,
New York,33,Hunting and Fishing License,T23,44172,,Middle Atlantic Region,,
New York,33,Motor Vehicle License,T24,1403555,,Middle Atlantic Region,,
New York,33,Motor Vehicle Operators License,T25,138696,,Middle Atlantic Region,,
New York,33,Public Utilities License,T27,11068,,Middle Atlantic Region,,
New York,33,"Occupation and Business License, NEC",T28,126505,,Middle Atlantic Region,,
New York,33,Other License Taxes,T29,1494,,Middle Atlantic Region,,
New York,33,Income Taxes,TA4,48658122,,Middle Atlantic Region,,
New York,33,Individual Income Taxes,T40,44631769,,Middle Atlantic Region,,
New York,33,Corporations Net Income Taxes,T41,4026353,,Middle Atlantic Region,,
New York,33,Other Taxes,TA5,3843267,,Middle Atlantic Region,,
New York,33,Death and Gift Taxes,T50,1190881,,Middle Atlantic Region,,
New York,33,Documentarty and Stock Transfer Taxes,T51,1312358,,Middle Atlantic Region,,
New York,33,Severance Taxes,T53,X,,Middle Atlantic Region,,
New York,33,"Taxes, NEC",T99,1340028,,Middle Atlantic Region,,
New York,33,,,,Pop 19590719,Middle Atlantic Region,,
,,,,,,,,
Pennsylvania,39,Total Taxes,T00,38397150,,Middle Atlantic Region,,
Pennsylvania,39,Property Taxes,T01,43360,,Middle Atlantic Region,,
Pennsylvania,39,Sales and Gross Receipts Taxes,TA1,20173496,,Middle Atlantic Region,,
Pennsylvania,39,General Sales and Gross Receipts Taxes,T09,10509734,,Middle Atlantic Region,,
Pennsylvania,39,Selective Sales and Gross Receipts Taxes,TA2,9663762,,Middle Atlantic Region,,
Pennsylvania,39,Alcoholic Beverages Sales Tax,T10,386816,,Middle Atlantic Region,,
Pennsylvania,39,Amusements Sales Tax,T11,1406354,,Middle Atlantic Region,,
Pennsylvania,39,Insurance Premiums Sales Tax,T12,808250,,Middle Atlantic Region,,
Pennsylvania,39,Motor Fuels Sales Tax,T13,3143576,,Middle Atlantic Region,,
Pennsylvania,39,Pari-mutuels Sales Tax,T14,10381,,Middle Atlantic Region,,
Pennsylvania,39,Public Utilities Sales Tax,T15,1235942,,Middle Atlantic Region,,
Pennsylvania,39,Tobacco Products Sales Tax,T16,1401259,,Middle Atlantic Region,,
Pennsylvania,39,Other Selective Sales and Gross Receipts Taxes,T19,1271184,,Middle Atlantic Region,,
Pennsylvania,39,License Taxes,TA3,2240809,,Middle Atlantic Region,,
Pennsylvania,39,Alcoholic Beverages License,T20,34222,,Middle Atlantic Region,,
Pennsylvania,39,Amusements License,T21,12672,,Middle Atlantic Region,,
Pennsylvania,39,Corporations in General License,T22,18752,,Middle Atlantic Region,,
Pennsylvania,39,Hunting and Fishing License,T23,74991,,Middle Atlantic Region,,
Pennsylvania,39,Motor Vehicle License,T24,928512,,Middle Atlantic Region,,
Pennsylvania,39,Motor Vehicle Operators License,T25,70067,,Middle Atlantic Region,,
Pennsylvania,39,Public Utilities License,T27,83718,,Middle Atlantic Region,,
Pennsylvania,39,"Occupation and Business License, NEC",T28,997941,,Middle Atlantic Region,,
Pennsylvania,39,Other License Taxes,T29,19934,,Middle Atlantic Region,,
Pennsylvania,39,Income Taxes,TA4,14408126,,Middle Atlantic Region,,
Pennsylvania,39,Individual Income Taxes,T40,12063782,,Middle Atlantic Region,,
Pennsylvania,39,Corporations Net Income Taxes,T41,2344344,,Middle Atlantic Region,,
Pennsylvania,39,Other Taxes,TA5,1531359,,Middle Atlantic Region,,
Pennsylvania,39,Death and Gift Taxes,T50,931908,,Middle Atlantic Region,,
Pennsylvania,39,Documentarty and Stock Transfer Taxes,T51,577586,,Middle Atlantic Region,,
Pennsylvania,39,Severance Taxes,T53,X,,Middle Atlantic Region,,
Pennsylvania,39,"Taxes, NEC",T99,21865,,Middle Atlantic Region,,
Pennsylvania,39,,,,Pop 12790447,Middle Atlantic Region,,
,,,,,,,,
Eastern Midwest Region,,,,,,,,
,,,,,,,,
Illinois,14,Total Taxes,T00,37978923,,Eastern Midwest Region,,
Illinois,14,Property Taxes,T01,63283,,Eastern Midwest Region,,
Illinois,14,Sales and Gross Receipts Taxes,TA1,18629894,,Eastern Midwest Region,,
Illinois,14,General Sales and Gross Receipts Taxes,T09,11363366,,Eastern Midwest Region,,
Illinois,14,Selective Sales and Gross Receipts Taxes,TA2,7266528,,Eastern Midwest Region,,
Illinois,14,Alcoholic Beverages Sales Tax,T10,294304,,Eastern Midwest Region,,
Illinois,14,Amusements Sales Tax,T11,735445,,Eastern Midwest Region,,
Illinois,14,Insurance Premiums Sales Tax,T12,418582,,Eastern Midwest Region,,
Illinois,14,Motor Fuels Sales Tax,T13,1348414,,Eastern Midwest Region,,
Illinois,14,Pari-mutuels Sales Tax,T14,6131,,Eastern Midwest Region,,
Illinois,14,Public Utilities Sales Tax,T15,1527274,,Eastern Midwest Region,,
Illinois,14,Tobacco Products Sales Tax,T16,781528,,Eastern Midwest Region,,
Illinois,14,Other Selective Sales and Gross Receipts Taxes,T19,2054850,,Eastern Midwest Region,,
Illinois,14,License Taxes,TA3,2793983,,Eastern Midwest Region,,
Illinois,14,Alcoholic Beverages License,T20,17021,,Eastern Midwest Region,,
Illinois,14,Amusements License,T21,15491,,Eastern Midwest Region,,
Illinois,14,Corporations in General License,T22,364482,,Eastern Midwest Region,,
Illinois,14,Hunting and Fishing License,T23,40808,,Eastern Midwest Region,,
Illinois,14,Motor Vehicle License,T24,1728151,,Eastern Midwest Region,,
Illinois,14,Motor Vehicle Operators License,T25,114629,,Eastern Midwest Region,,
Illinois,14,Public Utilities License,T27,18025,,Eastern Midwest Region,,
Illinois,14,"Occupation and Business License, NEC",T28,465109,,Eastern Midwest Region,,
Illinois,14,Other License Taxes,T29,30267,,Eastern Midwest Region,,
Illinois,14,Income Taxes,TA4,16134268,,Eastern Midwest Region,,
Illinois,14,Individual Income Taxes,T40,13256769,,Eastern Midwest Region,,
Illinois,14,Corporations Net Income Taxes,T41,2877499,,Eastern Midwest Region,,
Illinois,14,Other Taxes,TA5,357495,,Eastern Midwest Region,,
Illinois,14,Death and Gift Taxes,T50,280940,,Eastern Midwest Region,,
Illinois,14,Documentarty and Stock Transfer Taxes,T51,76555,,Eastern Midwest Region,,
Illinois,14,Severance Taxes,T53,X,,Eastern Midwest Region,,
Illinois,14,"Taxes, NEC",T99,0,,Eastern Midwest Region,,
Illinois,14,,,,Pop 12786196,Eastern Midwest Region,,
,,,,,,,,
Indiana,15,Total|Taxes,T00,18170514,,Eastern Midwest Region,,
Indiana,15,Property|Taxes,T01,12251,,Eastern Midwest Region,,
Indiana,15,Sales|and|Gross|Receipts|Taxes,TA1,11013349,,Eastern Midwest Region,,
Indiana,15,General|Sales|and|Gross|Receipts|Taxes,T09,7556326,,Eastern Midwest Region,,
Indiana,15,Selective|Sales|and|Gross|Receipts|Taxes,TA2,3457023,,Eastern Midwest Region,,
Indiana,15,Alcoholic|Beverages|Sales|Tax,T10,49403,,Eastern Midwest Region,,
Indiana,15,Amusements|Sales|Tax,T11,596918,,Eastern Midwest Region,,
Indiana,15,Insurance|Premiums|Sales|Tax,T12,235171,,Eastern Midwest Region,,
Indiana,15,Motor|Fuels|Sales|Tax,T13,854529,,Eastern Midwest Region,,
Indiana,15,Pari-mutuels|Sales|Tax,T14,1866,,Eastern Midwest Region,,
Indiana,15,Public|Utilities|Sales|Tax,T15,193613,,Eastern Midwest Region,,
Indiana,15,Tobacco|Products|Sales|Tax,T16,434331,,Eastern Midwest Region,,
